ACMG.genes	cosmic_10Nov17_somatic	cosmic_10Nov17_germline	NET_list	Targetv3_list	Nimblegen_Cancer_list	twelve.som.indel.recurrent	twelve.som.snp.recurrent	twelve.germ.indel.recurrent	twelve.germ.snp.recurrent	Michelle.gene.list
	NCKIPSD				PAX6					
	NCOA1				PAX7					
	NCOA2				PAX8					
	NCOA4				PBRM1					
	NCOR1				PBX1					
	NCOR2				PCM1					
	NDRG1				PCSK7					
	NF1				PDCD1LG2					
	NF2				PDE4DIP					
	NFATC2				PDGFB					
	NFE2L2				PDGFRA					
	NFIB				PDGFRB					
	NFKB2				PDPK1					
	NFKBIE				PER1					
	NIN				PHF6					
	NKX2-1				PHOX2B					
	NONO				PICALM					
	NOTCH1				PIK3CA					
	NOTCH2				PIK3R1					
	NPM1				PIM1					
	NR4A3				PLAG1					
	NRAS				PLK1					
	NRG1				PML					
	NSD1				PMS1					
	NT5C2				PMS2					
	NTRK1				POU2AF1					
	NTRK3				POU5F1					
	NUMA1				PPARG					
	NUP214				PPP2R1A					
	NUP98				PRCC					
	NUTM1				PRDM1					
	NUTM2A				PRDM16					
	NUTM2B				PRF1					
	OLIG2				PRKAR1A					
	OMD				PRKDC					
	P2RY8				PRRX1					
	PABPC1				PSIP1					
	PAFAH1B2				PTCH1					
	PAX3				PTEN					
	PAX5				PTK2					
	PAX7				PTK2B					
	PAX8				PTPN11					
	PBRM1				PTPRD					
	PBX1				RABEP1					
	PCBP1				RAD51B					
	PCM1				RAF1					
	PDCD1LG2				RALGDS					
	PDE4DIP				RANBP17					
	PDGFB				RAP1GDS1					
	PDGFRA				RARA					
	PDGFRB				RB1					
	PER1				RBM15					
	PHF6				RECQL4					
	PHOX2B				REL					
	PICALM				RET					
	PIK3CA				RHOH					
	PIK3CB				RICTOR					
	PIK3R1				RMI2					
	PIM1				RNASEL					
	PLAG1				ROS1					
	PLCG1				RPL22					
	PML				RPN1					
	POLD1				RPTOR					
	POLE				RRM1					
	POLG				RUNX1					
	POLQ				RUNX1T1					
	POT1				SARDH					
	POU2AF1				SBDS					
	POU5F1				SDHAF2					
	PPARG				SDHB					
	PPFIBP1				SDHC					
	PPM1D				SDHD					
	PPP2R1A				Sep-05					
	PPP6C				Sep-06					
	PRCC				Sep-09					
	PRDM1				SET					
	PRDM16				SETD2					
	PRDM2				SETDB1					
	PREX2				SF3B1					
	PRKACA				SF3B2					
	PRKAR1A				SFPQ					
	PRKCB				SH3GL1					
	PRPF40B				SLC45A3					
	PRRX1				SMAD2					
	PSIP1				SMAD3					
	PTCH1				SMAD4					
	PTEN				SMARCA4					
	PTK6				SMARCB1					
	PTPN11				SMO					
	PTPN13				SNX29					
	PTPN6				SOCS1					
	PTPRB				SOX2					
	PTPRC				SPECC1					
	PTPRK				SPEN					
	PTPRT				SRC					
	PWWP2A				SRD5A2					
	QKI				SRGAP3					
	RABEP1				SRSF2					
	RAC1				SRSF3					
	RAD21				SS18					
	RAD51B				SS18L1					
	RAF1				SSX1					
	RALGDS				SSX2					
	RANBP2				SSX4					
	RAP1GDS1				STAT3					
	RARA				STIL					
	RB1				STK11					
	RBM10				STX11					
	RBM15				STXBP2					
	REL				SUFU					
	RET				SUZ12					
	RGPD3				SYK					
	RGS7				TAF15					
	RHOA				TAL1					
	RHOH				TAL2					
	RMI2				TCEA1					
	RNF213				TCEA1P2					
	RNF43				TCF12					
	ROBO2				TCF3					
	ROS1				TCF4					
	RPL10				TCF7L2					
	RPL22				TCL1A					
	RPL5				TCL6					
	RPN1				TERT					
	RSPO2				TET1					
	RSPO3				TET2					
	RUNDC2A				TFE3					
	RUNX1				TFEB					
	RUNX1T1				TFG					
	S100A7				TFPT					
	SALL4				TFRC					
	SDC4				TGFBR2					
	SDHA				THRAP3					
	Sep-05				TLX1					
	Sep-06				TLX3					
	Sep-09				TMEM127					
	SET				TMPRSS2					
	SETBP1				TNFAIP3					
	SETD2				TNFRSF14					
	SF3B1				TNFRSF17					
	SFPQ				TOP1					
	SFRP4				TOP2A					
	SGK1				TP53					
	SH2B3				TPM3					
	SH3GL1				TPM4					
	SIRPA				TPR					
	SKI				TRIM24					
	SLC34A2				TRIM27					
	SLC45A3				TRIM33					
	SMAD2				TRIP11					
	SMAD3				TSC1					
	SMAD4				TSC2					
	SMARCA4				TSHR					
	SMARCB1				TTL					
	SMARCD1				TYK2					
	SMC1A				U2AF1					
	SMO				UNC13D					
	SND1				USP6					
	SOCS1				UTY					
	SOX2				VHL					
	SPECC1				VTI1A					
	SPEN				WAS					
	SPOP				WDR36					
	SRC				WHSC1					
	SRGAP3				WHSC1L1					
	SRSF2				WIF1					
	SRSF3				WRN					
	SS18				WT1					
	SS18L1				XPA					
	SSX1				XPC					
	SSX2				XPO1					
	SSX4				YWHAE					
	STAG1				ZBTB16					
	STAG2				ZMYM2					
	STAT3				ZNF331					
	STAT5B				ZNF384					
	STAT6				ZNF521					
	STIL				ZNF668					
	STK11				ZRSR2					
	STRN									
	SUFU									
	SUZ12									
	SYK									
	TAF15									
	TAL1									
	TAL2									
	TBL1XR1									
	TBX3									
	TCEA1									
	TCF12									
	TCF3									
	TCF7L2									
	TCL1A									
	TEC									
	TERT									
	TET1									
	TET2									
	TFE3									
	TFEB									
	TFG									
	TFPT									
	TFRC									
	TGFBR2									
	THRAP3									
	TLX1									
	TLX3									
	TMPRSS2									
	TNC									
	TNFAIP3									
	TNFRSF14									
	TNFRSF17									
	TOP1									
	TP53									
	TP63									
	TPM3									
	TPM4									
	TPR									
	TRA									
	TRAF7									
	TRB									
	TRD									
	TRIM24									
	TRIM27									
	TRIM33									
	TRIP11									
	TRRAP									
	TSC1									
	TSC2									
	TSHR									
	U2AF1									
	UBR5									
	USP6									
	USP8									
	VAV1									
	VHL									
	VTI1A									
	WHSC1									
	WHSC1L1									
	WIF1									
	WNK2									
	WT1									
	WWTR1									
	XPO1									
	YWHAE									
	ZBTB16									
	ZCCHC8									
	ZEB1									
	ZFHX3									
	ZMYM3									
	ZNF198									
	ZNF278									
	ZNF331									
	ZNF384									
	ZNF429									
	ZNF479									
	ZNF521									
	ZNRF3									
	ZRSR2									
